Organization Unit,Event Date,Survey Type,Administrative Unit,Site Name,Number of PC rounds,Month,Year,Latitude,Longitude,Age group,Diagnostic Test,Ascaris Nbr examined,Ascaris Nbr Positives,Ascaris % Positives,Ascaris % Positives heavy intensity,Ascaris % Positives Moderate intensity,Ankylostome Nbr examined,Ankylostome Nbr Positives,Ankylostome % Positives,Ankylostome % Positives heavy intensity,Ankylostome % Positives Moderate intensity,Trichuris Nbr examined,Trichuris Nbr Positives,Trichuris % Positives,Trichuris % Positives heavy intensity,Trichuris % Positives Moderate intensity,STH examined,STH Positives,STH % Positives
iuGjpnxnFbI,7/1/21,Mapping,Ayirolef Na Geblayitu,Ayrolaf,0,July     ,2021,11.7992363,41.14346313,09 - 15,Kato-Katz,25,2,8,0,4,25,1,4,0,0,25,1,4,0,0,25,2,8
iuGjpnxnFbI,7/1/21,Mapping,Ayshayca ,Ayshayca ,0,July     ,2021,10.75706863,42.57052231,09 - 15,Kato-Katz,18,4,22,0,0,18,4,22,0,0,18,0,0,0,0,18,4,22
iuGjpnxnFbI,7/1/21,Mapping,Baar dheere,Bar-dheere,0,July     ,2021,5.201533794,44.75570297,09 - 15,Kato-Katz,18,1,5,0,0,18,0,0,0,0,18,1,5,0,0,18,1,5
iuGjpnxnFbI,7/1/21,Mapping,Baka ,Baka ,0,July     ,2021,7.761899948,43.7216568,09 - 15,Kato-Katz,31,2,6,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0
iuGjpnxnFbI,7/1/21,Mapping,Baladka,Awroble,0,July     ,2021,9.332015991,42.64584732,09 - 15,Kato-Katz,14,0,0,0,0,14,1,7,0,0,14,0,0,0,0,14,1,7
iuGjpnxnFbI,7/1/21,Mapping,Balay,Balay,0,July     ,2021,9.890748024,42.21220398,09 - 15,Kato-Katz,30,1,3,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Baley,baley,0,July     ,2021,9.890711784,42.21221542,09 - 15,Kato-Katz,30,1,3,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Bandher ,Bandher ,0,July     ,2021,4.9958992,41.42815399,09 - 15,Kato-Katz,49,14,28,0,0,49,6,12,0,0,49,4,8,0,0,49,10,20
iuGjpnxnFbI,7/1/21,Mapping,Bango Rayo ,Bangorayo,0,July     ,2021,6.582405567,43.07981873,09 - 15,Kato-Katz,57,6,10,0,0,57,14,24,0,0,57,0,0,0,0,57,14,24
iuGjpnxnFbI,7/1/21,Mapping,Barey woder,Aliyo school ,0,July     ,2021,4.643172264,42.61871338,09 - 15,Kato-Katz,28,5,17,0,0,28,2,7,0,0,28,2,7,0,0,28,4,14
iuGjpnxnFbI,7/1/21,Mapping,Barey wored,Baarqaylo,0,July     ,2021,4.641842365,42.60611725,09 - 15,Kato-Katz,30,5,16,0,0,30,1,3,0,0,30,1,3,0,0,30,2,6
iuGjpnxnFbI,7/1/21,Mapping,Barey wored,Caduun school ( 01) ,0,July     ,2021,4.636242867,42.61450577,09 - 15,Kato-Katz,27,8,29,0,0,27,0,0,0,0,27,1,3,0,0,27,1,3
iuGjpnxnFbI,7/1/21,Mapping,Bargun 1,Bargun ,0,July     ,2021,6.369411469,43.67335129,09 - 15,Kato-Katz,31,3,9,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0
iuGjpnxnFbI,7/1/21,Mapping,Bargun 2,Fakow,0,July     ,2021,6.301653385,43.68897247,09 - 15,Kato-Katz,30,3,10,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Bargun 3,Jimbahaley,0,July     ,2021,6.248911381,43.73404312,09 - 15,Kato-Katz,30,1,3,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,Barlajisle,Barlajisle,0,July     ,2021,6.782211304,44.56865311,09 - 15,Kato-Katz,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0
iuGjpnxnFbI,7/1/21,Mapping,Bashiro,Bashiro primary school ,0,July     ,2021,7.99790144,42.46298599,09 - 15,Kato-Katz,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0
iuGjpnxnFbI,7/1/21,Mapping,Bashiro 02,Bashiro primary school 999,0,July     ,2021,8.001011848,42.45910645,09 - 15,Kato-Katz,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0
iuGjpnxnFbI,7/1/21,Mapping,Bedul Ale,Bedul ale,0,July     ,2021,9.289525032,40.18496704,09 - 15,Kato-Katz,63,3,4,0,0,63,0,0,0,0,63,0,0,0,0,63,0,0
iuGjpnxnFbI,7/1/21,Mapping,Beer Rahan,Beer Rahan,0,July     ,2021,4.523504257,41.73028564,09 - 15,Kato-Katz,30,5,16,0,0,30,25,83,0,0,30,0,0,0,0,30,25,83
iuGjpnxnFbI,7/1/21,Mapping,Beer Rahan,Beer Rahan2,0,July     ,2021,4.519396305,41.71670532,09 - 15,Kato-Katz,29,6,20,0,0,29,24,82,0,0,29,0,0,0,0,29,24,82
iuGjpnxnFbI,7/1/21,Mapping,Beer Rahan,Beer Rahan3,0,July     ,2021,4.534634113,41.73031616,09 - 15,Kato-Katz,30,5,16,0,0,30,23,76,0,0,30,0,0,0,0,30,23,76
iuGjpnxnFbI,7/1/21,Mapping,Beer Rahan,Beer Rahan3,0,July     ,2021,4.531286716,41.71344376,09 - 15,Kato-Katz,33,8,24,0,0,33,31,93,0,0,33,1,3,0,0,33,31,93
iuGjpnxnFbI,7/1/21,Mapping,Bekeride'Arna Abalidera,Bekirdeqar,0,July     ,2021,11.72564125,40.97847366,09 - 15,Kato-Katz,33,11,33,0,0,33,10,30,0,0,33,10,30,0,0,33,15,45
iuGjpnxnFbI,7/1/21,Mapping,Bekolmag,Bekolmag,0,July     ,2021,4.535343647,41.51183319,09 - 15,Kato-Katz,33,7,21,0,0,33,31,93,0,0,33,0,0,0,0,33,31,93
iuGjpnxnFbI,7/1/21,Mapping,Belewa,Belewa primary,0,July     ,2021,9.587063789,42.0941124,09 - 15,Kato-Katz,57,15,26,0,0,57,2,3,0,0,57,2,3,0,0,57,4,7
iuGjpnxnFbI,7/1/21,Mapping,Benado,Benado1,0,July     ,2021,6.856790543,44.25304794,09 - 15,Kato-Katz,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0
iuGjpnxnFbI,7/1/21,Mapping,Benado 2,Benado2,0,July     ,2021,6.951706886,44.21201324,09 - 15,Kato-Katz,26,0,0,0,0,26,0,0,0,0,26,0,0,0,0,26,0,0
iuGjpnxnFbI,7/1/21,Mapping,Berga,Berga,0,July     ,2021,11.52596378,41.46489334,09 - 15,Kato-Katz,36,4,11,0,0,36,5,13,0,0,36,2,5,0,0,36,7,19
iuGjpnxnFbI,7/1/21,Mapping,Berih,Barih,0,July     ,2021,11.7235651,40.97471619,09 - 15,Kato-Katz,146,21,14,0,0,146,8,5,0,0,146,1,0,0,0,146,8,5
iuGjpnxnFbI,7/1/21,Mapping,Beyihayile,beyahayle,0,July     ,2021,11.73571777,41.13336945,09 - 15,Kato-Katz,40,5,12,0,7,40,4,10,0,0,40,4,10,0,0,40,7,17
iuGjpnxnFbI,7/1/21,Mapping,Bila2,Bila 2,0,July     ,2021,9.537197113,41.42209625,09 - 15,Kato-Katz,16,1,6,0,0,16,3,18,0,0,16,0,0,0,0,16,3,18
iuGjpnxnFbI,7/1/21,Mapping,Bila 2,Bila 2,0,July     ,2021,9.537160873,41.42206573,09 - 15,Kato-Katz,16,1,6,0,0,16,3,18,0,0,16,0,0,0,0,16,3,18
iuGjpnxnFbI,7/1/21,Mapping, Bila 3,bila 3,0,July     ,2021,9.532989502,41.41690445,09 - 15,Kato-Katz,15,2,13,0,0,15,3,20,0,0,15,0,0,0,0,15,3,20
iuGjpnxnFbI,7/1/21,Mapping,Bila 3,Bila 3,0,July     ,2021,9.533000946,41.41693497,09 - 15,Kato-Katz,15,2,13,0,0,15,3,20,0,0,15,0,0,0,0,15,3,20
iuGjpnxnFbI,6/1/21,Mapping,1,Aare,0,June     ,2021,8.111030579,45.34370804,09 - 15,Kato-Katz,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0
iuGjpnxnFbI,6/1/21,Mapping,1,Amusane,0,June     ,2021,7.802454472,43.94719696,09 - 15,Kato-Katz,4,3,75,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0
iuGjpnxnFbI,6/1/21,Mapping,1,Cayun,0,June     ,2021,9.36868763,42.82474518,09 - 15,Kato-Katz,59,0,0,0,0,59,3,5,0,0,59,0,0,0,0,59,3,5
iuGjpnxnFbI,6/1/21,Mapping,1,Ceel dibir,0,June     ,2021,7.308295727,43.30073929,09 - 15,Kato-Katz,57,6,10,0,0,57,14,24,0,0,57,0,0,0,0,57,14,24
iuGjpnxnFbI,6/1/21,Mapping,1,Dugsi hose dhexe d dhuxun ,0,June     ,2021,7.222361088,42.69884491,09 - 15,Kato-Katz,93,13,13,0,0,93,30,32,0,0,93,7,7,0,0,93,33,35
iuGjpnxnFbI,6/1/21,Mapping,1,Ilmi Jiir,0,June     ,2021,8.110726357,45.34154892,09 - 15,Kato-Katz,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0
iuGjpnxnFbI,6/1/21,Mapping,1,Lagahida primary and junior school ,0,June     ,2021,7.380720615,41.77775955,09 - 15,Kato-Katz,28,0,0,0,0,28,2,7,0,0,28,0,0,0,0,28,2,7
iuGjpnxnFbI,6/1/21,Mapping,1,Salahad elementary school ,0,June     ,2021,7.046387196,41.62930679,09 - 15,Kato-Katz,31,2,6,0,0,31,3,9,0,0,31,2,6,0,0,31,4,12
iuGjpnxnFbI,6/1/21,Mapping,1,Sh. Ahmed Gole,0,June     ,2021,8.224175453,43.5579834,09 - 15,Kato-Katz,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0
