WASH Zone Name,WASH Woreda Name,Region,NTD Zone ID,NTD Region ID,NTD Woreda,Period,Total Number of Villages (Got) in the Woreda default,Total Number of Villages(Gots) to which HEWs are assigned default,Total Number of HEWs who have been provided with refresher training default,Total number of Households default,Total number of Households with improved toilet default,Total Number of Gots which are OD default,Total Number of Gots which are Primary ODF default,Total Number of Gots which are Secondary ODF default,Total Number of Gots which qualifies for Safely Managed sanitation default,Total number of school in the Woreda default,Total number of schools with Drinking Water with in school premise from protected sources default,Total number of schools with improved toilet default,Total number of schools which are sharing the improved toilet default,Total number of schools having shared toilet and meeting the  standard of toilet for Boys? Default,Total number of schools with separate toilet Block for girls default,Total number of schools with separate toilet block for girls meeting the standard of toilet for girls default,Total number of schools with separate toilet block for boys meeting the standard of toilet for boys default,Total Number of schools with  Handwashing station for children default,Total Number of schools with  Mensrual Hygiene Management system in the school default,Total number of Health Post in the Woreda default,Total number of Health Post with Drinking Water with in Health Post premise from protected sources default,Total number of Health Posts with improved toilet with permanent superstructure default,Total number of Health Posts with Incinerator default,Total number of Health Posts with Placenta Pit default,Total number of Health Posts with Ash pit default,Total number of Health Posts with infectious waste disposal pit default,Total number of Health Centre existing  in the Woreda default,Total number of Health Centre with Drinking Water with in Health Centre premise from protected sources default,Total number of Health Centre Drinking Water in the clinic and other departnets ( inlcuding  the maternity centre/ward) default,Total number of Health Centre with standard improved toilet with permanent superstructure default,Total number of Health Centre with standard improved toilet  with with permanent superstructure  in the maternity centre/ward default,Total number of Health Centre with Incinerator default,Total number of Health Centre with Placenta Pit default,Total number of Health Centre with Ash pit default,Total number of Health Centre with infectious waste disposal pit default
Harar,Sofi,Harar,ORG00000301,ORG00000299,ORG00000310,2019,81,81,0,11414,2300,9,72,0,0,20,3,10,8,0,2,2,2,0,0,11,4,7,0,0,0,0,2,2,0,2,0,1,2,0,1
Harar,Erer,Harar,ORG00000301,ORG00000299,ORG00000306,2019,50,47,0,6910,600,44,6,0,0,13,1,6,5,0,1,1,1,0,0,7,0,6,0,0,0,0,1,1,0,1,0,0,1,1,0
Harar,Direteyara,Harar,ORG00000301,ORG00000299,ORG00000305,2019,60,60,0,8970,2200,31,29,0,0,18,5,8,7,0,1,1,1,0,0,8,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0
West Wollega zone,Ayiraa,Oromia,ORG00000644,ORG00000311,ORG00000646,2019,324,32,0,14242,10824,157,167,0,0,26,1,,,,,8,1,0,0,15,0,7,0,0,0,0,2,1,0,0,0,2,2,0,0
West Wollega zone,B/Coqorsaa,Oromia,ORG00000644,ORG00000311,,2019,318,41,0,13687,10402,151,167,0,0,32,5,,,,,2,30,5,0,21,5,1,0,0,0,0,3,2,2,3,0,1,2,0,0
West Wollega zone,B/Dirmajjii,Oromia,ORG00000644,ORG00000311,,2019,280,35,0,12263,9320,154,126,0,0,33,4,,,,,1,0,3,0,17,0,3,0,0,0,0,2,1,0,1,0,2,2,0,0
West Wollega zone,B/Gambeel,Oromia,ORG00000644,ORG00000311,ORG00000657,2019,342,33,0,17033,12945,44,298,0,0,39,3,,,,,30,9,5,10,18,9,15,0,0,0,0,3,0,0,3,0,3,3,0,0
West Wollega zone,Beegii,Oromia,ORG00000644,ORG00000311,ORG00000658,2019,686,58,0,33724,25630,206,480,0,0,79,0,,,,,0,0,0,0,42,0,1,0,0,0,0,5,2,0,0,0,3,4,0,0
West Wollega zone,Ganjii,Oromia,ORG00000644,ORG00000311,ORG00000663,2019,360,41,0,16817,12781,64,296,0,0,31,1,,,,,7,4,3,4,18,3,13,2,0,0,0,2,1,1,2,0,2,2,0,0
West Wollega zone,Gimbii B.,Oromia,ORG00000644,ORG00000311,,2019,498,66,0,21105,16039,327,171,0,0,47,0,,,,,0,0,0,0,32,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0
West Wollega zone,Gimbii M.,Oromia,ORG00000644,ORG00000311,,2019,214,0,0,10045,7634,214,0,0,0,11,10,,,,,5,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
West Wollega zone,Gullisoo,Oromia,ORG00000644,ORG00000311,ORG00000662,2019,519,42,0,19826,15068,268,251,0,0,48,6,,,,,25,3,0,0,26,0,0,0,5,0,0,5,1,0,1,0,5,5,0,0
West Wollega zone,Haaruu,Oromia,ORG00000644,ORG00000311,ORG00000656,2019,453,42,0,16803,12771,121,291,41,0,34,3,,,,,21,1,0,2,26,3,19,0,0,0,0,3,2,0,3,0,3,3,0,0
West Wollega zone,Hoomaa,Oromia,ORG00000644,ORG00000311,ORG00000648,2019,240,20,0,9120,6931,113,127,0,0,21,4,,,,,4,1,0,5,10,2,4,0,0,0,0,2,2,1,1,1,1,1,0,0
West Wollega zone,Jaarsoo,Oromia,ORG00000644,ORG00000311,ORG00000645,2019,281,31,0,13698,10411,119,162,0,0,28,0,,,,,4,0,0,0,14,0,5,0,0,0,0,2,1,1,2,1,2,2,0,0
West Wollega zone,Lalo Assaabii,Oromia,ORG00000644,ORG00000311,ORG00000660,2019,466,55,0,21536,16368,240,226,0,0,38,13,,,,,31,8,0,8,27,6,14,0,0,0,0,3,3,1,3,0,3,3,0,0
West Wollega zone,Leta Sibuu,Oromia,ORG00000644,ORG00000311,ORG00000667,2019,253,27,0,11338,8617,91,162,0,0,22,3,,,,,2,0,0,0,14,2,2,0,0,0,0,3,3,1,3,0,3,3,0,0
West Wollega zone,Mana Sibuu,Oromia,ORG00000644,ORG00000311,ORG00000664,2019,585,91,0,31234,23737,308,277,0,0,55,0,,,,,20,17,1,1,47,0,0,0,0,0,0,5,1,1,1,1,2,5,0,0
West Wollega zone,Mandi Town,Oromia,ORG00000644,ORG00000311,ORG00000665,2019,94,0,0,4542,3452,94,0,0,0,7,7,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
West Wollega zone,Najjoo B.,Oromia,ORG00000644,ORG00000311,,2019,501,71,0,22467,17075,229,272,0,0,52,3,,,,,1,1,0,0,35,1,9,1,1,0,0,3,2,2,2,2,2,3,0,0
West Wollega zone,Najjoo M.,Oromia,ORG00000644,ORG00000311,,2019,123,0,0,6160,4681,123,0,0,0,13,13,,,,,3,13,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
West Wollega zone,Noolee K.,Oromia,ORG00000644,ORG00000311,,2019,424,46,0,16905,12847,203,221,0,0,48,0,,,,,0,0,0,0,24,0,0,0,0,0,0,4,0,0,3,1,4,4,0,0
West Wollega zone,Q/Kaarraa,Oromia,ORG00000644,ORG00000311,,2019,292,42,0,14675,11153,56,236,0,0,23,0,,,,,0,0,0,0,20,0,0,0,0,0,0,2,2,0,1,0,2,2,0,0
West Wollega zone,Qondaala,Oromia,ORG00000644,ORG00000311,ORG00000655,2019,590,48,0,26966,20494,56,534,0,0,50,0,,,,,0,0,0,0,32,0,0,0,0,0,0,4,0,0,2,0,4,4,0,0
West Wollega zone,S/Noolee,Oromia,ORG00000644,ORG00000311,,2019,558,61,0,21290,16180,99,459,0,0,54,1,,,,,0,0,1,0,32,3,8,0,0,0,0,4,3,2,4,0,4,4,0,0
West Wollega zone,Yuubdoo,Oromia,ORG00000644,ORG00000311,ORG00000659,2019,255,37,0,10935,8311,189,66,0,0,29,3,,,,,0,0,0,0,18,0,4,0,0,0,0,3,3,0,3,1,3,3,0,0
East Shoa,Ada`aa,Oromia,ORG00000413,ORG00000311,ORG00000618,2019,639,44,0,29935,9355,276,359,4,0,52,14,,,,,16,36,5,3,26,5,14,0,0,0,0,5,5,2,3,0,4,4,0,0
East Shoa,Adama,Oromia,ORG00000413,ORG00000311,ORG00000618,2019,756,81,0,40393,18467,299,391,66,0,27,11,,,,,13,14,13,4,38,5,34,2,1,0,0,9,4,4,9,6,9,9,0,0
East Shoa,A/T/J/K,Oromia,ORG00000413,ORG00000311,,2019,1008,80,0,44582,11618,649,359,0,0,40,15,,,,,19,21,6,2,40,13,36,0,0,0,0,4,4,3,1,4,2,4,0,0
East Shoa,Bora,Oromia,ORG00000413,ORG00000311,ORG00000473,2019,340,36,0,16638,2629,304,36,0,0,40,0,,,,,11,5,0,0,18,0,17,0,0,0,0,2,2,2,1,2,2,2,0,0
East Shoa,Bosat,Oromia,ORG00000413,ORG00000311,ORG00000427,2019,948,74,0,34748,18816,615,333,0,0,30,6,,,,,4,25,0,13,20,0,20,0,0,0,0,6,3,0,5,0,6,6,0,0
East Shoa,Dugda,Oromia,ORG00000413,ORG00000311,ORG00000425,2019,727,68,0,42103,94398,70,618,39,0,59,19,,,,,13,46,8,4,31,9,18,0,0,0,0,10,4,2,6,3,6,5,0,0
East Shoa,Fantalle,Oromia,ORG00000413,ORG00000311,ORG00000424,2019,395,36,0,17081,6642,374,21,0,0,24,4,,,,,14,10,2,4,17,4,15,7,2,0,0,4,2,1,4,2,4,4,0,0
East Shoa,Gimbichu,Oromia,ORG00000413,ORG00000311,ORG00000422,2019,555,65,0,24499,11958,350,190,15,0,41,9,,,,,16,25,9,3,29,3,14,0,0,0,0,5,4,0,5,0,5,5,0,0
East Shoa,Liban ,Oromia,ORG00000413,ORG00000311,ORG00000474,2019,529,26,0,36955,8401,237,292,0,0,40,15,,,,,19,21,6,2,19,0,9,0,0,0,0,4,3,3,4,0,4,4,0,0
East Shoa,Lume,Oromia,ORG00000413,ORG00000311,ORG00000423,2019,492,76,0,24794,9390,466,26,0,0,60,21,,,,,22,38,7,2,36,17,41,12,5,0,0,5,5,0,5,0,3,2,0,0
East Shoa,Matahara,Oromia,ORG00000413,ORG00000311,ORG00000418,2019,177,6,0,7667,6419,177,0,0,0,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,,,,
South West Shoa,Waliso,Oromia,ORG00000558,ORG00000311,ORG00000568,2019,816,64,0,39114,14150,810,6,0,0,45,22,,,,,27,21,14,4,32,9,24,0,0,0,0,9,4,4,5,4,4,4,0,0
South West Shoa,Ammayyaa,Oromia,ORG00000558,ORG00000311,,2019,742,38,0,34300,15677,613,129,0,0,60,8,,,,,10,2,2,10,33,2,8,0,0,0,0,8,4,1,5,8,8,7,0,0
South West Shoa,Bachoo,Oromia,ORG00000558,ORG00000311,ORG00000559,2019,249,38,0,20686,5675,249,0,0,0,48,14,,,,,11,9,2,20,19,4,15,1,0,0,0,3,3,0,3,0,3,3,0,0
South West Shoa,Wancii,Oromia,ORG00000558,ORG00000311,,2019,546,35,0,25440,14170,399,147,0,0,72,12,,,,,27,22,15,2,22,4,18,0,0,0,0,4,3,2,3,1,4,4,0,0
South West Shoa,Daawo,Oromia,ORG00000558,ORG00000311,ORG00000564,2019,299,30,0,20402,10168,299,0,0,0,31,12,,,,,22,4,2,0,22,6,11,0,0,0,0,3,3,0,3,0,3,3,0,0
South West Shoa,Iluu,Oromia,ORG00000558,ORG00000311,,2019,185,21,0,13398,3522,136,49,0,0,50,1,,,,,5,3,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
South West Shoa,Qarsa Maalimaa,Oromia,ORG00000558,ORG00000311,ORG00000567,2019,471,41,0,22231,7026,471,0,0,0,52,8,,,,,26,23,0,0,30,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0
South West Shoa,Saden Sooddoo,Oromia,ORG00000558,ORG00000311,,2019,491,38,0,18378,3584,449,42,0,0,18,11,,,,,20,17,0,0,22,11,20,17,0,0,0,2,0,2,2,2,2,2,0,0
South West Shoa,Tolee,Oromia,ORG00000558,ORG00000311,ORG00000561,2019,399,35,0,17162,3040,399,0,0,0,26,10,,,,,18,7,1,0,22,1,12,0,1,0,0,3,2,0,2,0,2,3,0,0
South West Shoa,Soddo Daacii,Oromia,ORG00000558,ORG00000311,ORG00000562,2019,293,28,0,11612,7501,30,263,0,0,18,6,,,,,4,4,0,0,16,1,7,1,0,0,0,2,1,0,2,0,2,2,0,0
South West Shoa,Gooro,Oromia,ORG00000558,ORG00000311,ORG00000570,2019,299,30,0,12483,5183,34,265,0,0,25,4,,,,,8,20,0,0,19,0,17,1,0,0,0,2,1,2,0,1,2,2,0,0
North Shoa,Yaya Gulale,Oromia,ORG00000543,ORG00000311,ORG00000544,2019,320,17,0,9363,3988,253,57,10,0,37,1,,,,,5,12,3,0,17,0,12,3,0,0,0,2,0,0,2,0,2,2,0,0
North Shoa,Kimbibit,Oromia,ORG00000543,ORG00000311,ORG00000547,2019,419,50,0,12777,9618,393,26,0,0,50,11,,,,,29,21,13,10,29,7,29,0,0,0,0,3,2,0,3,0,3,3,0,0
North Shoa,Abichu Gna`a,Oromia,ORG00000543,ORG00000311,ORG00000549,2019,451,26,0,16071,8224,261,190,0,0,49,11,,,,,11,22,1,0,20,2,10,0,0,0,0,4,0,0,2,1,3,3,0,0
North Shoa,Girar Jarso,Oromia,ORG00000543,ORG00000311,ORG00000553,2019,446,27,0,941,190,419,27,0,0,50,13,,,,,39,8,3,0,16,2,11,0,0,0,0,5,1,0,3,0,3,3,0,0
North Shoa,Kuyu ,Oromia,ORG00000543,ORG00000311,ORG00000545,2019,659,40,0,19880,6241,587,72,0,0,59,7,,,,,2,41,1,0,23,0,18,2,2,0,0,5,1,0,5,1,5,5,0,0
North Shoa,Alaltu,Oromia,ORG00000543,ORG00000311,ORG00000555,2019,290,33,0,8554,3607,261,29,0,0,47,4,,,,,11,23,1,0,19,6,18,0,0,0,0,1,0,0,1,1,1,1,0,0
North Shoa,Dara,Oromia,ORG00000543,ORG00000311,ORG00000472,2019,696,48,0,32169,3973,696,0,0,0,89,6,,,,,34,33,1,0,33,0,23,0,0,0,0,7,5,2,5,3,6,7,0,0
North Shoa,Dagam,Oromia,ORG00000543,ORG00000311,,2019,558,31,0,17936,6209,532,26,0,0,69,4,,,,,18,17,0,0,18,0,4,0,0,0,0,4,2,0,2,0,3,3,0,0
North Shoa,Hidabu Abote,Oromia,ORG00000543,ORG00000311,ORG00000550,2019,442,35,0,19049,4550,361,81,0,0,45,24,,,,,0,38,1,0,19,3,15,0,0,0,0,4,3,1,4,0,2,3,0,0
North Shoa,Jida,Oromia,ORG00000543,ORG00000311,ORG00000546,2019,331,21,0,10666,5724,158,173,0,0,29,14,,,,,8,19,3,0,13,4,8,0,0,0,0,2,1,0,2,0,2,2,0,0
North Shoa,Dabre Libanos,Oromia,ORG00000543,ORG00000311,ORG00000548,2019,222,19,0,6245,2129,221,1,0,0,42,6,,,,,11,13,4,0,12,3,7,0,0,0,0,1,1,0,1,0,1,1,0,0
North Shoa,Wochale,Oromia,ORG00000543,ORG00000311,ORG00000556,2019,446,38,0,17430,4320,446,0,0,0,52,20,,,,,25,21,11,2,26,4,10,2,0,0,0,2,1,1,2,2,2,2,0,0
North Shoa,Wara Jarso,Oromia,ORG00000543,ORG00000311,ORG00000557,2019,696,41,0,31102,5121,696,0,0,0,60,18,,,,,18,16,0,0,25,4,20,5,5,0,0,3,0,3,0,3,3,3,0,0
Kelem Wollega zone,Anfillo,Oromia,ORG00000531,ORG00000311,ORG00000536,2019,498,40,0,21842,14933,318.72,179.28,0,0,35,6,,,,,8,18,2,0,23,0,15,0,0,0,0,5,4,0,4,0,4,5,0,0
Kelem Wollega zone,Dale sadi,Oromia,ORG00000531,ORG00000311,ORG00000540,2019,526,49,0,20818,18108,403.2666667,122.7333333,0,0,34,2,,,,,10,15,0,0,28,1,12,0,0,0,0,5,2,0,5,0,5,5,0,0
Kelem Wollega zone,D/wabara,Oromia,ORG00000531,ORG00000311,,2019,387,42,0,16770,11194,177.375,209.625,0,0,30,8,,,,,12,11,0,0,22,3,14,0,0,0,0,4,1,0,4,0,4,4,0,0
Kelem Wollega zone,G/Kebe,Oromia,ORG00000531,ORG00000311,,2019,503,50,0,17359,15293,301.8,201.2,0,0,47,6,,,,,13,10,0,0,28,0,15,0,0,0,0,6,1,0,3,0,3,6,0,0
Kelem Wollega zone,Gidami,Oromia,ORG00000531,ORG00000311,ORG00000538,2019,577,42,0,24160,17757,384.6666667,192.3333333,0,0,52,4,,,,,7,19,1,0,28,0,16,0,0,0,0,5,2,0,3,0,5,5,0,0
Kelem Wollega zone,H/Galan,Oromia,ORG00000531,ORG00000311,,2019,718,59,0,26856,19886,336.5625,381.4375,0,0,47,3,,,,,38,3,0,0,31,8,24,0,0,0,0,6,3,0,6,0,4,6,0,0
Kelem Wollega zone,J/Horro,Oromia,ORG00000531,ORG00000311,ORG00000486,2019,298,38,0,12899,6953,298,0,0,0,26,1,,,,,6,11,0,0,20,1,12,0,0,0,0,3,1,0,3,0,3,3,0,0
Kelem Wollega zone,L/kile,Oromia,ORG00000531,ORG00000311,,2019,320,39,0,13726,7548,250.4347826,69.56521739,0,0,22,1,,,,,17,6,0,0,21,0,8,0,0,0,0,4,1,0,2,0,1,4,0,0
Kelem Wollega zone,sayo,Oromia,ORG00000531,ORG00000311,ORG00000504,2019,785,52,0,32419,12055,535,250,0,0,60,19,,,,,15,17,7,0,25,3,18,0,0,0,0,5,1,0,4,0,4,5,0,0
Kelem Wollega zone,Y/Walal,Oromia,ORG00000531,ORG00000311,,2019,261,33,0,11461,8498,261,0,0,0,32,0,,,,,2,0,0,0,14,1,5,0,0,0,0,3,1,0,3,0,3,3,0,0
Kelem Wollega zone,Sadi Canka,Oromia,ORG00000531,ORG00000311,,2019,305,28,0,12739,10245,224,81,0,0,19,0,,,,,6,0,0,0,14,1,3,0,0,0,0,2,1,0,2,0,1,2,0,0
Kelem Wollega zone,D/Dollo Town,Oromia,ORG00000531,ORG00000311,ORG00000616,2019,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Arsi zone,A/Nagele ® ,Oromia,ORG00000613,ORG00000311,,2019,968,67,0,35522,14727,485,483,0,0,80,31,,,,,42,16,2,15,35,6,21,,,0,0,7,7,0,6,0,6,6,0,0
West Arsi zone,Adaba,Oromia,ORG00000613,ORG00000311,ORG00000618,2019,705,38,0,20907,17490,677,28,0,0,115,4,,,,,18,0,0,1,17,0,3,0,0,0,0,,9,1,6,0,7,7,0,0
West Arsi zone,Dodola ® ,Oromia,ORG00000613,ORG00000311,ORG00000616,2019,886,70,0,48814,38138,455,431,0,0,69,14,,,,,42,67,7,0,26,0,19,,,0,0,7,3,1,0,5,,,0,0
West Arsi zone,G/Hasasa,Oromia,ORG00000613,ORG00000311,ORG00000355,2019,780,47,0,22935,18245,391,389,0,0,44,8,,,,,24,15,0,0,26,2,,,,0,0,,,,,,,,0,0
West Arsi zone,Kofale,Oromia,ORG00000613,ORG00000311,ORG00000619,2019,849,76,0,29060,20051,397,452,0,0,57,2,,,,,33,54,1,22,36,0,0,0,0,0,0,8,1,5,4,2,8,8,0,0
West Arsi zone,Kokosa,Oromia,ORG00000613,ORG00000311,ORG00000620,2019,710,56,0,21929,18813,318,392,0,0,41,2,,,,,1,0,,,15,1,1,,,0,0,6,0,0,0,0,5,5,0,0
West Arsi zone,Kore,Oromia,ORG00000613,ORG00000311,ORG00000622,2019,422,34,0,23088,11187,119,303,0,0,36,0,,,,,8,,1,1,16,0,3,,,0,0,5,2,0,5,0,4,3,0,0
West Arsi zone,Nansabo,Oromia,ORG00000613,ORG00000311,ORG00000621,2019,,32,0,32148,7024,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0
West Arsi zone,Shalla,Oromia,ORG00000613,ORG00000311,ORG00000624,2019,994,98,0,38588,3564,954,40,0,0,36,0,,,,,8,,1,1,16,0,3,,,0,0,5,2,0,0,0,4,3,0,0
West Arsi zone,Shashamene,Oromia,ORG00000613,ORG00000311,ORG00000625,2019,1400,85,0,53594,6252,1072,328,0,0,80,,,,,,,,,,,,,,,0,0,,,,,,,,0,0
West Arsi zone,Siraro,Oromia,ORG00000613,ORG00000311,ORG00000628,2019,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0
West Arsi zone,Wondo,Oromia,ORG00000613,ORG00000311,ORG00000626,2019,516,56,0,19731,12755,329,187,0,0,28,2,,,,,6,9,0,,26,2,13,,,0,0,3,1,0,3,0,1,3,0,0
West Arsi zone,Heben Arsi,Oromia,ORG00000613,ORG00000311,ORG00000629,2019,358,19,0,14062,10365,200,158,0,0,24,10,,,,,14,5,0,0,10,1,1,0,0,0,0,2,2,0,0,0,2,2,0,0
West Arsi zone,Dodola T,Oromia,ORG00000613,ORG00000311,ORG00000616,2019,30,8,0,6736,3675,30,,,,11,11,,,,,1,0,0,,,,,,,0,0,1,1,1,1,0,1,1,0,0
West Arsi zone,B/Guracha,Oromia,ORG00000613,ORG00000311,,2019,67,2,0,1806,1323,67,0,0,,4,0,,,,,0,0,,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
West Arsi zone,A/Negele T,Oromia,ORG00000613,ORG00000311,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimma zone,Agaro,Oromia,ORG00000508,ORG00000311,ORG00000345,2019,221,8,0,8021,2239,97,124,0,0,12,12,,,,,5,7,6,1,5,0,2,0,0,0,0,2,2,0,2,0,2,2,0,0
Jimma zone,Botor Xollay,Oromia,ORG00000508,ORG00000311,ORG00000526,2019,259,25,0,12588,3456,132,127,0,0,39,3,,,,,29,10,2,4,17,0,11,0,0,0,0,2,0,0,4,2,3,4,0,0
Jimma zone,Ch.Botor,Oromia,ORG00000508,ORG00000311,ORG00000525,2019,341,21,0,15574,4563,118,223,0,0,44,12,,,,,30,10,8,3,20,0,18,0,0,0,0,4,1,1,3,3,2,2,0,0
Jimma zone,Dedo,Oromia,ORG00000508,ORG00000311,ORG00000527,2019,1005,84,0,46678,20987,424,581,0,0,93,12,,,,,68,25,19,16,37,2,23,0,0,0,0,8,2,0,7,2,4,5,0,0
Jimma zone,Gera,Oromia,ORG00000508,ORG00000311,ORG00000516,2019,727,61,0,30650,12380,559,168,0,0,62,1,,,,,15,42,0,2,31,2,24,0,0,0,0,6,4,0,5,0,4,4,0,0
Jimma zone,Gomma,Oromia,ORG00000508,ORG00000311,ORG00000515,2019,1251,82,0,58258,25478,1065,186,0,0,78,8,,,,,30,44,3,4,41,2,26,0,0,0,0,11,10,1,8,1,9,7,0,0
Jimma zone,Gumay,Oromia,ORG00000508,ORG00000311,ORG00000515,2019,344,36,0,16653,5432,258,86,0,0,48,3,,,,,11,32,4,5,15,1,12,0,0,0,0,3,2,0,3,0,2,3,0,0
Jimma zone,L/Kossa,Oromia,ORG00000508,ORG00000311,,2019,1037,98,0,43596,17654,875,162,0,0,78,5,,,,,71,6,3,6,44,1,42,0,0,0,0,8,4,0,7,0,3,6,0,0
Jimma zone,L/Seka,Oromia,ORG00000508,ORG00000311,,2019,747,66,0,36161,11489,548,199,0,0,71,2,,,,,60,11,7,4,40,1,19,0,0,0,0,6,2,1,4,2,5,5,0,0
Jimma zone,Manna,Oromia,ORG00000508,ORG00000311,ORG00000521,2019,879,60,0,39918,16578,257,622,0,0,69,2,,,,,34,33,4,4,26,0,16,0,0,0,0,7,2,1,6,0,6,6,0,0
Jimma zone,Mencho,Oromia,ORG00000508,ORG00000311,ORG00000559,2019,544,45,0,31700,12357,138,406,0,0,50,2,,,,,39,11,8,5,21,0,16,0,0,0,0,6,2,0,6,0,5,5,0,0
Jimma zone,N.Benja,Oromia,ORG00000508,ORG00000311,,2019,867,45,0,16136,4387,765,102,0,0,38,4,,,,,22,16,0,0,21,0,16,0,0,0,0,4,2,0,3,0,3,4,0,0
Jimma zone,O.Beyyam,Oromia,ORG00000508,ORG00000311,ORG00000529,2019,542,28,0,26374,8976,454,88,0,0,51,2,,,,,31,10,0,0,16,0,8,0,0,0,0,4,0,0,3,0,3,3,0,0
Jimma zone,O.Nada,Oromia,ORG00000508,ORG00000311,,2019,1015,60,0,41379,17654,438,577,0,0,90,19,,,,,68,22,21,7,30,3,20,0,0,0,0,7,4,4,6,4,6,7,0,0
Jimma zone,Kersa,Oromia,ORG00000508,ORG00000311,ORG00000638,2019,957,85,0,45031,18675,231,726,0,0,89,20,,,,,65,24,12,22,32,0,17,0,0,0,0,8,2,2,6,2,7,6,0,0
Jimma zone,S.Chekorsa,Oromia,ORG00000508,ORG00000311,ORG00000509,2019,1176,79,0,56670,25467,62,1114,0,0,134,9,,,,,110,24,18,47,37,0,22,0,0,0,0,9,2,2,7,1,7,6,0,0
Jimma zone,Setemma,Oromia,ORG00000508,ORG00000311,ORG00000517,2019,553,47,0,28165,8976,467,86,0,0,54,13,,,,,16,35,0,0,22,3,22,0,0,0,0,5,5,0,4,0,4,5,0,0
Jimma zone,Sh.Sombo,Oromia,ORG00000508,ORG00000311,ORG00000520,2019,690,55,0,30584,9876,244,446,0,0,56,4,,,,,36,20,14,16,23,0,15,0,0,0,0,5,3,0,4,2,5,5,0,0
Jimma zone,Sigmo,Oromia,ORG00000508,ORG00000311,ORG00000518,2019,526,39,0,25245,8123,278,248,0,0,52,12,,,,,32,16,0,2,21,1,20,0,0,0,0,5,5,0,4,0,4,5,0,0
Jimma zone,Sokoru,Oromia,ORG00000508,ORG00000311,ORG00000523,2019,808,68,0,37483,13265,119,689,0,0,78,9,,,,,52,26,21,24,42,0,39,0,0,0,0,6,5,4,4,4,6,5,0,0
Jimma zone,T.Afeta,Oromia,ORG00000508,ORG00000311,ORG00000522,2019,734,49,0,32588,11237,231,503,0,0,74,4,,,,,45,29,4,3,25,0,22,0,0,0,0,6,4,0,4,0,4,5,0,0
Ilu Aba Bora zone,Allee,Oromia,ORG00000493,ORG00000311,ORG00000503,2019,325,43,0,14957,9516,178,147,0,0,30,8,,,,,5,25,6,0,19,2,11,1,0,0,0,2,2,1,2,1,1,1,0,0
Ilu Aba Bora zone,A/Sachi,Oromia,ORG00000493,ORG00000311,ORG00000506,2019,495,48,0,21665,15992,195,300,0,0,48,5,,,,,11,15,0,0,31,0,6,0,0,0,0,6,3,3,3,3,6,4,0,0
Ilu Aba Bora zone,Bacho,Oromia,ORG00000493,ORG00000311,ORG00000559,2019,266,29,0,10374,4123,179,87,0,0,33,2,,,,,7,21,1,1,18,4,11,0,0,0,0,2,1,0,1,1,1,0,0,0
Ilu Aba Bora zone,B/Nopha,Oromia,ORG00000493,ORG00000311,,2019,196,20,0,8109,5896,55,141,0,0,24,1,,,,,9,19,0,6,16,2,13,0,0,0,0,2,1,0,0,2,2,2,0,0
Ilu Aba Bora zone,Buree,Oromia,ORG00000493,ORG00000311,ORG00000507,2019,331,39,0,14407,9212,69,262,0,0,33,11,,,,,10,19,2,8,22,21,19,0,0,0,0,3,3,3,3,3,2,2,0,0
Ilu Aba Bora zone,Darimu,Oromia,ORG00000493,ORG00000311,ORG00000494,2019,928,88,0,40537,29091,313,615,0,0,76,9,,,,,9,51,5,0,39,3,33,0,0,0,0,6,2,1,5,4,4,5,0,0
Ilu Aba Bora zone,Didu,Oromia,ORG00000493,ORG00000311,ORG00000499,2019,199,29,0,9130,5298,122,77,0,0,26,8,,,,,18,4,0,1,17,1,10,0,0,0,0,2,2,1,2,1,1,2,0,0
Ilu Aba Bora zone,Dorani,Oromia,ORG00000493,ORG00000311,ORG00000498,2019,212,22,0,10202,7255,75,137,0,0,24,2,,,,,6,18,2,0,12,0,5,0,0,0,0,2,0,0,1,1,2,2,0,0
Ilu Aba Bora zone,Halu,Oromia,ORG00000493,ORG00000311,ORG00000656,2019,139,22,0,4777,965,69,70,0,0,16,1,,,,,7,9,10,1,12,1,10,0,0,0,0,1,1,0,1,1,1,1,0,0
Ilu Aba Bora zone,Hurrumu,Oromia,ORG00000493,ORG00000311,ORG00000505,2019,291,23,0,12087,8926,99,192,0,0,20,2,,,,,8,1,0,0,14,0,5,0,0,0,0,2,2,0,2,1,2,1,0,0
