woreda,woreda uid,zone,zone id,region,region id
Saesi Tsaeda Amba,ORG00000957,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Sagag,ORG00000911,Nogobo  ,ORG00000904,Somali,ORG00000843
Sahrti-Samre,ORG00000976,South East ,ORG00000975,Tigray,ORG00000934
Saint,ORG00000188,S. Wello,ORG00000170,Amhara,ORG00000053
Saka Chekorsa,ORG00000509,Jimma  ,ORG00000508,Oromia,ORG00000311
Salahad,ORG00000906,Nogobo  ,ORG00000904,Somali,ORG00000843
Salamago,ORG00000811,South Omo ,ORG00000808,SNNPR,ORG00000668
Samorobigelalu,ORG00000049,Kilbat,ORG00000047,Afar,ORG00000013
Sankura,ORG00000807,Silti  ,ORG00000798,SNNPR,ORG00000668
Sasiga,ORG00000436,E. Wellega ,ORG00000431,Oromia,ORG00000311
Satema,ORG00000517,Jimma  ,ORG00000508,Oromia,ORG00000311
Sawena,ORG00000341,Bale  ,ORG00000340,Oromia,ORG00000311
SawlaT,ORG00000705,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Saylem,ORG00000744,Kafa  ,ORG00000743,SNNPR,ORG00000668
Seba Boru,ORG00000477,Guji  ,ORG00000464,Oromia,ORG00000311
Sebata Awas,ORG00000462,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Sebeta Town,ORG00000457,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Sedal (Sirba Abay),ORG00000229,Kamashi,ORG00000228,Beneshangul Gumuz,ORG00000218
Seden Sodo Rural,ORG00000566,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Sekala,ORG00000210,West Gojam,ORG00000201,Amhara,ORG00000053
Sekota town,ORG00000195,Wag Hemra,ORG00000193,Amhara,ORG00000053
Sekota Zuriya,ORG00000196,Wag Hemra,ORG00000193,Amhara,ORG00000053
Semen,ORG00000959,Mekele  ,ORG00000958,Tigray,ORG00000934
Semen Bench,ORG00000680,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Semra Logya Town,ORG00000016,Awsa,ORG00000014,Afar,ORG00000013
Sendafa,ORG00000458,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Seru,ORG00000330,Arsi  ,ORG00000312,Oromia,ORG00000311
Setit Humera,ORG00000990,West Tigray ,ORG00000989,Tigray,ORG00000934
Seyo,ORG00000533,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Seyo Nole,ORG00000654,West Wellega ,ORG00000644,Oromia,ORG00000311
Shabeley,ORG00000887,Faafame  ,ORG00000874,Somali,ORG00000843
Shabe Sombo,ORG00000520,Jimma  ,ORG00000508,Oromia,ORG00000311
Shakiso Town,ORG00000481,Guji  ,ORG00000464,Oromia,ORG00000311
Shala,ORG00000624,West Arsi ,ORG00000613,Oromia,ORG00000311
Shala Seyemt,ORG00000197,Wag Hemra,ORG00000193,Amhara,ORG00000053
Shambu Town,ORG00000487,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Shanan Kolu,ORG00000339,Arsi  ,ORG00000312,Oromia,ORG00000311
Shashego,ORG00000742,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Shashemene,ORG00000627,West Arsi ,ORG00000613,Oromia,ORG00000311
Shashemene Town,ORG00000625,West Arsi ,ORG00000613,Oromia,ORG00000311
Shaygosh,ORG00000894,Korahe  ,ORG00000889,Somali,ORG00000843
Shebedino,ORG00000796,Sidama  ,ORG00000775,SNNPR,ORG00000668
Shebel berenta,ORG00000068,E. Gojam,ORG00000066,Amhara,ORG00000053
Sheko,ORG00000672,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Shenkor,ORG00000309,Harare  ,ORG00000301,Harare,ORG00000299
Sheraro Town,ORG00000969,North West Tigray,ORG00000966,Tigray,ORG00000934
Sherkole,ORG00000226,Asosa,ORG00000219,Beneshangul Gumuz,ORG00000218
Sherkole Camp,ORG00000288,Refugee Camp,ORG00000287,Gambella,ORG00000267
Shewarobit,ORG00000121,N. Shoa,ORG00000109,Amhara,ORG00000053
Shey Bench,ORG00000674,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Shilabo,ORG00000893,Korahe  ,ORG00000889,Somali,ORG00000843
Shinile,ORG00000926,Siti  ,ORG00000925,Somali,ORG00000843
Shire endasselasssiye,ORG00000974,North West Tigray,ORG00000966,Tigray,ORG00000934
Shirka,ORG00000328,Arsi  ,ORG00000312,Oromia,ORG00000311
Sibu Sire,ORG00000437,E. Wellega ,ORG00000431,Oromia,ORG00000311
Sigimo,ORG00000518,Jimma  ,ORG00000508,Oromia,ORG00000311
Silti,ORG00000804,Silti  ,ORG00000798,SNNPR,ORG00000668
Simada,ORG00000165,S. Gonder,ORG00000157,Amhara,ORG00000053
Sinan,ORG00000083,E. Gojam,ORG00000066,Amhara,ORG00000053
Sinana,ORG00000350,Bale  ,ORG00000340,Oromia,ORG00000311
Siraro,ORG00000628,West Arsi ,ORG00000613,Oromia,ORG00000311
Sire,ORG00000336,Arsi  ,ORG00000312,Oromia,ORG00000311
Siyadebirnawayu,ORG00000117,N. Shoa,ORG00000109,Amhara,ORG00000053
Soddo Town,ORG00000837,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Soddo Zuria,ORG00000832,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Sodo,ORG00000691,East Gurage ,ORG00000688,SNNPR,ORG00000668
Sodo Dachi,ORG00000562,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Sofi,ORG00000310,Harare  ,ORG00000301,Harare,ORG00000299
Sokoru,ORG00000523,Jimma  ,ORG00000508,Oromia,ORG00000311
Soro,ORG00000735,Hadiya  ,ORG00000731,SNNPR,ORG00000668
South Aari,ORG00000813,South Omo ,ORG00000808,SNNPR,ORG00000668
South Achefer,ORG00000207,West Gojam,ORG00000201,Amhara,ORG00000053
South Bench,ORG00000675,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Sude,ORG00000327,Arsi  ,ORG00000312,Oromia,ORG00000311
Sululta,ORG00000463,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Sululta Town,ORG00000459,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Surma,ORG00000676,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Suro Barguda,ORG00000640,West Guji,ORG00000631,Oromia,ORG00000311
Tach Armachiho,ORG00000106,N. Gonder,ORG00000085,Amhara,ORG00000053
Tach Gaint,ORG00000161,S. Gonder,ORG00000157,Amhara,ORG00000053
Tahtay adiabo,ORG00000972,North West Tigray,ORG00000966,Tigray,ORG00000934
Tahtay Koraro,ORG00000971,North West Tigray,ORG00000966,Tigray,ORG00000934
Tahtay Maichew,ORG00000938,Central Tigray ,ORG00000935,Tigray,ORG00000934
Takusa,ORG00000098,N. Gonder,ORG00000085,Amhara,ORG00000053
Tanqua Abergele,ORG00000943,Central Tigray ,ORG00000935,Tigray,ORG00000934
Tarmaber,ORG00000129,N. Shoa,ORG00000109,Amhara,ORG00000053
Tegedie,ORG00000101,N. Gonder,ORG00000085,Amhara,ORG00000053
Tehuledere,ORG00000173,S. Wello,ORG00000170,Amhara,ORG00000053
Telalak,ORG00000051,Kilbat,ORG00000047,Afar,ORG00000013
Telemt,ORG00000096,N. Gonder,ORG00000085,Amhara,ORG00000053
Tello,ORG00000745,Kafa  ,ORG00000743,SNNPR,ORG00000668
Teltele,ORG00000369,Borena  ,ORG00000361,Oromia,ORG00000311
Tembaro,ORG00000761,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Tena,ORG00000334,Arsi  ,ORG00000312,Oromia,ORG00000311
Tenta,ORG00000176,S. Wello,ORG00000170,Amhara,ORG00000053
Tepi Town,ORG00000771,Sheka  ,ORG00000769,SNNPR,ORG00000668
Terch Town,ORG00000684,Dawro  ,ORG00000681,SNNPR,ORG00000668
Teru,ORG00000050,Kilbat,ORG00000047,Afar,ORG00000013
Tierkidi Camp,ORG00000296,Refugee Camp,ORG00000287,Gambella,ORG00000267
Tiro Afeta,ORG00000522,Jimma  ,ORG00000508,Oromia,ORG00000311
Tiyo,ORG00000329,Arsi  ,ORG00000312,Oromia,ORG00000311
Tocha,ORG00000683,Dawro  ,ORG00000681,SNNPR,ORG00000668
Togo Wajjale,ORG00000883,Faafame  ,ORG00000874,Somali,ORG00000843
Toke Kutaye,ORG00000602,W. Shewa ,ORG00000589,Oromia,ORG00000311
Tole,ORG00000561,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Tongo Camp,ORG00000290,Refugee Camp,ORG00000287,Gambella,ORG00000267
Tsegede,ORG00000993,West Tigray ,ORG00000989,Tigray,ORG00000934
Tselemti,ORG00000973,North West Tigray,ORG00000966,Tigray,ORG00000934
Tsore Camp,ORG00000291,Refugee Camp,ORG00000287,Gambella,ORG00000267
Tuliguled,ORG00000880,Faafame  ,ORG00000874,Somali,ORG00000843
Tullo,ORG00000578,W. Harerge ,ORG00000571,Oromia,ORG00000311
Ubaderetsehay,ORG00000702,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Uraga,ORG00000479,Guji  ,ORG00000464,Oromia,ORG00000311
Wachile,ORG00000374,Borena  ,ORG00000361,Oromia,ORG00000311
Wadera,ORG00000465,Guji  ,ORG00000464,Oromia,ORG00000311
Wadlla,ORG00000146,N. Wello,ORG00000134,Amhara,ORG00000053
Wahil,ORG00000265,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Wama Hagalo,ORG00000447,E. Wellega ,ORG00000431,Oromia,ORG00000311
Wanthuwa,ORG00000283,Nuer II ,ORG00000281,Gambella,ORG00000267
Warder,ORG00000873,Dollo  ,ORG00000868,Somali,ORG00000843
Wayu Tuka,ORG00000444,E. Wellega ,ORG00000431,Oromia,ORG00000311
Wegdy,ORG00000178,S. Wello,ORG00000170,Amhara,ORG00000053
Welkayit,ORG00000992,West Tigray ,ORG00000989,Tigray,ORG00000934
Welmera,ORG00000450,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Wendo Genet,ORG00000792,Sidama  ,ORG00000775,SNNPR,ORG00000668
Werehilehi,ORG00000941,Central Tigray ,ORG00000935,Tigray,ORG00000934
Wereilu,ORG00000181,S. Wello,ORG00000170,Amhara,ORG00000053
Were Jarso,ORG00000557,North Shoa Zone,ORG00000543,Oromia,ORG00000311
West Armachoho,ORG00000095,N. Gonder,ORG00000085,Amhara,ORG00000053
West Emay,ORG00000847,Afder  ,ORG00000844,Somali,ORG00000843
Wogera,ORG00000094,N. Gonder,ORG00000085,Amhara,ORG00000053
Woldia,ORG00000145,N. Wello,ORG00000134,Amhara,ORG00000053
Woliso,ORG00000568,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Woliso Town,ORG00000560,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Wolkite,ORG00000722,Gurage  ,ORG00000719,SNNPR,ORG00000668
Wombera,ORG00000240,Metekel,ORG00000234,Beneshangul Gumuz,ORG00000218
Wonago,ORG00000712,Gedio  ,ORG00000710,SNNPR,ORG00000668
Wonberma,ORG00000208,West Gojam,ORG00000201,Amhara,ORG00000053
Wonchi,ORG00000569,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Wondo,ORG00000626,West Arsi ,ORG00000613,Oromia,ORG00000311
Wonsho,ORG00000793,Sidama  ,ORG00000775,SNNPR,ORG00000668
Worabe,ORG00000801,Silti  ,ORG00000798,SNNPR,ORG00000668
Worebabo,ORG00000184,S. Wello,ORG00000170,Amhara,ORG00000053
Woreta Town,ORG00000159,S. Gonder,ORG00000157,Amhara,ORG00000053
Wuchale,ORG00000556,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Wukro Town,ORG00000954,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Yabello Town,ORG00000362,Borena  ,ORG00000361,Oromia,ORG00000311
Yabelo,ORG00000375,Borena  ,ORG00000361,Oromia,ORG00000311
Yalo,ORG00000052,Kilbat,ORG00000047,Afar,ORG00000013
Yasso,ORG00000232,Kamashi,ORG00000228,Beneshangul Gumuz,ORG00000218
Yaya Gulale,ORG00000544,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Yayo,ORG00000504,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Yeka Subcity,ORG00000011,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Yeki,ORG00000772,Sheka  ,ORG00000769,SNNPR,ORG00000668
Yemalogi Welel,ORG00000532,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Yemi,ORG00000821,Special  ,ORG00000818,SNNPR,ORG00000668
Yilimana Dnisa,ORG00000204,West Gojam,ORG00000201,Amhara,ORG00000053
Yirgacheffe,ORG00000718,Gedio  ,ORG00000710,SNNPR,ORG00000668
Yirgacheffe Town,ORG00000717,Gedio  ,ORG00000710,SNNPR,ORG00000668
Yirgalem town,ORG00000797,Sidama  ,ORG00000775,SNNPR,ORG00000668
Yocale,ORG00000866,Degehabur  ,ORG00000857,Somali,ORG00000843
Yubdo,ORG00000659,West Wellega ,ORG00000644,Oromia,ORG00000311
Zala,ORG00000707,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Zigem,ORG00000056,Awi,ORG00000054,Amhara,ORG00000053
Ziquala,ORG00000198,Wag Hemra,ORG00000193,Amhara,ORG00000053
Zuway dugda,ORG00000331,Arsi  ,ORG00000312,Oromia,ORG00000311
