woreda,woreda uid,zone,zone id,region,region id
Cheta,ORG00000753,Kafa  ,ORG00000743,SNNPR,ORG00000668
Chewaka,ORG00000381,Buno Bedele,ORG00000377,Oromia,ORG00000311
Chifra,ORG00000019,Awsa,ORG00000014,Afar,ORG00000013
Chilga,ORG00000105,N. Gonder,ORG00000085,Amhara,ORG00000053
Chinaksen,ORG00000394,E. Harerge ,ORG00000388,Oromia,ORG00000311
Chire,ORG00000785,Sidama  ,ORG00000775,SNNPR,ORG00000668
Chiro,ORG00000573,W. Harerge ,ORG00000571,Oromia,ORG00000311
Chiro Town,ORG00000577,W. Harerge ,ORG00000571,Oromia,ORG00000311
Chobi,ORG00000608,W. Shewa ,ORG00000589,Oromia,ORG00000311
Chole,ORG00000324,Arsi  ,ORG00000312,Oromia,ORG00000311
Chora,ORG00000378,Buno Bedele,ORG00000377,Oromia,ORG00000311
Chora Botor,ORG00000525,Jimma  ,ORG00000508,Oromia,ORG00000311
Dabat,ORG00000093,N. Gonder,ORG00000085,Amhara,ORG00000053
Dabo Hana,ORG00000383,Buno Bedele,ORG00000377,Oromia,ORG00000311
Dalanta,ORG00000183,S. Wello,ORG00000170,Amhara,ORG00000053
Dale,ORG00000784,Sidama  ,ORG00000775,SNNPR,ORG00000668
Dale sedi,ORG00000540,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Dale Wabera,ORG00000535,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Dalifage,ORG00000038,Gabi,ORG00000035,Afar,ORG00000013
Dalocha,ORG00000799,Silti  ,ORG00000798,SNNPR,ORG00000668
Dalul,ORG00000036,Gabi,ORG00000035,Afar,ORG00000013
Dama,ORG00000472,Guji  ,ORG00000464,Oromia,ORG00000311
Dambal,ORG00000928,Siti  ,ORG00000925,Somali,ORG00000843
Dambi Dolo,ORG00000534,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Damboya,ORG00000763,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
Damot Gale,ORG00000840,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Damot Pullassa,ORG00000835,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Damot Sore,ORG00000828,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Damot Woyde,ORG00000833,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Dangila,ORG00000060,Awi,ORG00000054,Amhara,ORG00000053
Dangla Town,ORG00000064,Awi,ORG00000054,Amhara,ORG00000053
Dangure,ORG00000235,Metekel,ORG00000234,Beneshangul Gumuz,ORG00000218
Dano,ORG00000598,W. Shewa ,ORG00000589,Oromia,ORG00000311
Danot,ORG00000871,Dollo  ,ORG00000868,Somali,ORG00000843
Dara,ORG00000790,Sidama  ,ORG00000775,SNNPR,ORG00000668
Daratole,ORG00000872,Dollo  ,ORG00000868,Somali,ORG00000843
Darimu,ORG00000494,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Daro Lebu,ORG00000574,W. Harerge ,ORG00000571,Oromia,ORG00000311
Daror,ORG00000864,Degehabur  ,ORG00000857,Somali,ORG00000843
Dasenech,ORG00000812,South Omo ,ORG00000808,SNNPR,ORG00000668
